Commmon Name,Scientific name,Population,Taxon,Range,COSEWIC status,On Schedule 1 (Yes/No)?,SARA status,Action plan (Y/N/Proposed),Year,Multispecies?,Cost (per year),Number of species,Recovery measure,Action,RM,Both,Priority,Status and timeline,Partners,Terrestrial,Aquatic ,Threat or objective addressed,Multispecies Quality Control
Burrowing Owl,Athene cunicularia,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Endangered,Yes,Endangered,Y,2017,Y,4600000,10,"5.1.4 Engage local communities in species at risk research, monitoring or education activities, when appropriate.",,,1,Medium,New – 2018-2023,0,1,0,0,1
Burrowing Owl,Athene cunicularia,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Endangered,Yes,Endangered,Y,2017,Y,4600000,10,"5.2.1 Inform all land users (agriculture, industry, recreation, road construction) about the need for avoiding direct disturbance to species at risk and their habitat.",1,,,Medium,New – 2018-2023,0,1,0,0,1
Burrowing Owl,Athene cunicularia,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Endangered,Yes,Endangered,Y,2017,Y,4600000,10,"5.2.2 Develop, implement and evaluate a communication/information program aimed at key land users to reduce and mitigate soil disturbance and promote proper cleaning of equipment in order to reduce the spread of exotic plants.",,,1,Low,New – 2018-2023,0,1,0,0,1
Burrowing Owl,Athene cunicularia,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Endangered,Yes,Endangered,Y,2017,Y,4600000,10,"5.2.3 Develop approaches to increase awareness of the threat to species at risk from pesticides and other chemicals, while recognizing that pest control is currently an important activity in working landscapes. Educate about best practices including Integrated Pest Management, buffer zones for chemical application, chemical waste storage, containment, and disposal. Develop and implement education programs on the safe use of rodenticides, and extend information to lobby groups that are pro-strychnine.",,,1,Medium,New – 2018-2023,0,1,0,0,1
Burrowing Owl,Athene cunicularia,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Endangered,Yes,Endangered,Y,2017,Y,4600000,10,"5.2.4 Inform recreational groups and industry about the need to carry out their activities in ways that respect the rights of landowners and land managers, and inform landowners and land managers about their rights in negotiating access conditions with industry, in order to enhance the protection of species at risk on their land.",1,,,Low,New – 2018-2023,0,1,0,0,1
Burrowing Owl,Athene cunicularia,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Endangered,Yes,Endangered,Y,2017,Y,4600000,10,"6.1.1 Cooperate with partners in adjacent jurisdictions on relevant species-at-risk and habitat planning, including coordination of research, in order to help realize conservation goals of the SoD area.",,,1,Medium,Ongoing 2016-2023,0,1,0,0,1
Burrowing Owl,Athene cunicularia,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Endangered,Yes,Endangered,Y,2017,Y,4600000,10,"6.2.1 Develop a multi-species implementation strategy for collaborative delivery of priority recovery measures through an implementation committee with involvement of government, industry, ENGOs, local land managers and other interested parties as appropriate.",,1,,High,Ongoing 2016-2020,0,1,0,0,1
Burrowing Owl,Athene cunicularia,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Endangered,Yes,Endangered,Y,2017,Y,4600000,10,"6.2.2 Develop and enhance partnerships among jurisdictions and stakeholders, using stewardship incentives (see Action 3.1.1), regulatory, and policy-based approaches, towards protecting critical habitat identified in the SoD area.",1,,,High,Ongoing 2016-2023,0,1,0,0,1
Burrowing Owl,Athene cunicularia,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Endangered,Yes,Endangered,Y,2017,Y,4600000,10,"6.3.1 Develop land use plans that consider species at risk by engaging appropriate levels of government to coordinate activities within the SoD area so that any disturbance to species at risk and their habitat is minimized and does not affect their survival and recovery. This may include: risk zoning for activities and infrastructure; habitat zoning for application of beneficial management practices; zoning for recreational activities. Plan the layout of road systems and other linear disturbances to reduce impacts on species at risk, by coordinating access among users, using the minimum road requirements for the purpose, locating developments in non-native habitats where possible, and developing common corridors to stack linear disturbances.",,1,,High,New – 2018-2023,0,1,0,0,1
Burrowing Owl,Athene cunicularia,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Endangered,Yes,Endangered,Y,2017,Y,4600000,10,"6.3.2 Engage with decision makers, stakeholders and pasture patron groups about the divestiture and management of federal community pastures and cooperate in this process to ensure that pastures located within the SoD area are retained as native prairie and managed to optimize joint grazing and biodiversity benefits.",1,,,High,Ongoing2016-2021,0,1,0,0,1
Burrowing Owl,Athene cunicularia,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Endangered,Yes,Endangered,Y,2017,Y,4600000,10,6.3.3 Streamline data information systems using standardized tools to ensure that all species at risk data captured through regulatory processes is readily available for species at risk conservation planning.,,1,,Low,New – 2019,0,1,0,0,1
Burrowing Owl,Athene cunicularia,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba",Endangered,Yes,Endangered,Y,2017,Y,4600000,10,"7.1.3 For Burrowing Owl, continue to monitor at a range-wide level through Operation Burrowing Owl. Monitor the number of Burrowing Owl pairs initiating a nest in Black-tailed Prairie Dog towns. Monitor Burrowing Owl critical habitat sites within the SoD area and coordinate the SoD Action Plan monitoring efforts with those being done within GNP.",,1,,Medium,Ongoing – implement annually,0,1,0,0,1
Butler's Gartersnake,Thamnophis butleri,,Reptiles,Ontario,Endangered,Schedule 1,Endangered,N,,,,,,,,,,,,,,,
Butternut,Juglans cinerea,,Vascular Plants,"Ontario, Quebec, New Brunswick",Endangered,Schedule 1,Endangered,Y,2016,Y,0,34,"Ensure provincial departments, conservation authorities and municipal governments are aware of SAR hotspots for consideration in official land-use plans. Provide input into development proposals that are referred by the Cataraqui Region Conservation Authority.",,0,1,0,Ongoing,0,1,0,Encourage the submission of all records for all turtle species to the province.,1
Butternut,Juglans cinerea,,Vascular Plants,"Ontario, Quebec, New Brunswick",Endangered,Schedule 1,Endangered,Y,2016,Y,0,34,Work with partners to promote the protection of key species dispersal habitats. Work in partnership with the Leeds and Grenville Stewardship Council on issues related to gray ratsnake outreach and species at risk protection.,1,0,0,0,Ongoing,0,1,0,"Promote protection of high ranking habitat parcels or networks through partners (municipalities, The Nature Conservancy of Canada, Ontario Parks, stewardship councils) and initiate acquisition, agreements, easements, etc",1
Butternut,Juglans cinerea,,Vascular Plants,"Ontario, Quebec, New Brunswick",Endangered,Schedule 1,Endangered,Y,2016,Y,0,66,Inclusion of Indigenous Traditional Know ledge: Engage the Caldw ell First Nation and the Walpole Island First Nation to collaboratively develop and implement methods to meaningfully incorporate ATK into management practices for SAR at PPNP and NNHS.,0,0,1,0,Ongoing,0,1,0,"Inclusion of Traditional Ecological Know ledge To better inform assessment, monitoring, and recovery of the ecosystems that support species at risk.",1
Butternut,Juglans cinerea,,Vascular Plants,"Ontario, Quebec, New Brunswick",Endangered,Schedule 1,Endangered,Y,2016,Y,0,66,"Recovery of SAR Trees at PPNP: Reduce main threats and increase population viability of SAR Trees; genetic mapping, controlled pollination and propagation, invasive species removal and habitat augmentation.",,0,1,0,2015-2019,0,1,0,"Threats of hybridization, invasive species and habitat loss",1
Butternut,Juglans cinerea,,Vascular Plants,"Ontario, Quebec, New Brunswick",Endangered,Schedule 1,Endangered,Y,2016,Y,0,66,Remove hybrid Butternut trees to mitigate threat to 9 pure-strain Butternut at w est end of Lakeshore Property.,1,0,0,0,2021,0,1,0,Loss of Canadian population through hybridization,1
California Buttercup,Ranunculus californicus,,Vascular Plants,British Columbia,Endangered,Schedule 1,Endangered,N,,,,,,,,,,,,,,,
California Sea Lion,Zalophus californianus,,Mammals (marine),"British Columbia, Pacific Ocean",Not at Risk,No schedule,No Status,N,,,,,,,,,,,,,,,
Canada Lynx,Lynx canadensis,,Mammals (terrestrial),"British Columbia, Yukon, Northwest Territories, Nunavut, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador, New Brunswick, Nova Scotia",Not at Risk,No schedule,No Status,Y,2016,Y,0,28,,,,,,,,1,0,,
Canada Warbler,Cardellina canadensis,,Birds,"British Columbia, Prince Edward Island, Yukon, Northwest Territories, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Nova Scotia",Threatened,Schedule 1,Threatened,Y,2016,Y,0,12,,,,,,,,1,0,,
Canada Warbler,Cardellina canadensis,,Birds,"British Columbia, Prince Edward Island, Yukon, Northwest Territories, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Nova Scotia",Threatened,Schedule 1,Threatened,Y,2017,Y,0,15,Encourage staff and visitors to record and report incidental sightings of species at risk (and share with Ontario Natural Heritage Information Centre and Fisheries and Oceans Canada),0,1,0,0,Annually,0,1,0,Knowledge gaps around species occurrence and distribution,1
Canada Warbler,Cardellina canadensis,,Birds,"British Columbia, Prince Edward Island, Yukon, Northwest Territories, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Nova Scotia",Threatened,Schedule 1,Threatened,Y,2017,Y,0,22,"Continue to involve the public in meaningful recovery actions for species at risk through collaboration with the Kejimkujik volunteer program (recruitment, training, support, capacity, recognition).",1,0,0,0,Annual (2016- 2020),0,1,0,Various threats.,1
Canada Warbler,Cardellina canadensis,,Birds,"British Columbia, Prince Edward Island, Yukon, Northwest Territories, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Nova Scotia",Threatened,Schedule 1,Threatened,Y,2016,Y,0,28,,,,,,,,1,0,,
Canada Warbler,Cardellina canadensis,,Birds,"British Columbia, Prince Edward Island, Yukon, Northwest Territories, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Nova Scotia",Threatened,Schedule 1,Threatened,Y,2016,Y,0,34,"Ensure provincial departments, conservation authorities and municipal governments are aware of SAR hotspots for consideration in official land-use plans. Provide input into development proposals that are referred by the Cataraqui Region Conservation Authority.",,0,1,0,Ongoing,0,1,0,Encourage the submission of all records for all turtle species to the province,1
Canada Warbler,Cardellina canadensis,,Birds,"British Columbia, Prince Edward Island, Yukon, Northwest Territories, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Nova Scotia",Threatened,Schedule 1,Threatened,Y,2016,Y,0,34,Work with partners to promote the protection of key species dispersal habitats. Work in partnership with the Leeds and Grenville Stewardship Council on issues related to gray ratsnake outreach and species at risk protection.,1,0,0,0,Ongoing,0,1,0,"Promote protection of high ranking habitat parcels or networks through partners (municipalities, The Nature Conservancy of Canada, Ontario Parks, stewardship councils) and initiate acquisition, agreements, easements, etc.",1
Canada Warbler,Cardellina canadensis,,Birds,"British Columbia, Prince Edward Island, Yukon, Northwest Territories, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Nova Scotia",Threatened,Schedule 1,Threatened,Y,2016,Y,0,41,Engage the SON to collaboratively develop and implement methods to meaningfully incorporate ATK into management practices for SAR at BPNP & FFNMP.,0,0,1,0,Ongoing,0,1,0,Several recovery documents note the importance and utility of including ATK in recovery strategies,1
Canada Warbler,Cardellina canadensis,,Birds,"British Columbia, Prince Edward Island, Yukon, Northwest Territories, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Nova Scotia",Threatened,Schedule 1,Threatened,Y,2016,Y,0,66,Inclusion of Indigenous Traditional Know ledge: Engage the Caldw ell First Nation and the Walpole Island First Nation to collaboratively develop and implement methods to meaningfully incorporate ATK into management practices for SAR at PPNP and NNHS.,0,0,1,0,Ongoing,0,1,0,"Inclusion of Traditional Ecological Know ledge To better inform assessment, monitoring, and recovery of the ecosystems that support species at risk.",1
Canada Warbler,Cardellina canadensis,,Birds,"British Columbia, Prince Edward Island, Yukon, Northwest Territories, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Nova Scotia",Threatened,Schedule 1,Threatened,Y,2016,Y,0,66,"Manage Rare Bird Sightings: Mitigate visitor disturbance to migrating individuals or nesting SAR birds at PPNP; communication, area closures, and patrols to promote compliance.",1,0,0,0,Ongoing,0,1,0,Protect individuals from harassment.,1
Canadian Toad,Bufo hemiophrys,,Amphibians,"Northwest Territories, Alberta, Saskatchewan, Manitoba",Not at Risk,No schedule,No Status,N,,,,,,,,,,,,,,,
Canary Rockfish,Sebastes pinniger,,Fishes (marine),Pacific Ocean,Threatened,No schedule,No Status,N,,,,,,,,,,,,,,,
Canyon Wren,Catherpes mexicanus,,Birds,British Columbia,Not at Risk,No schedule,No Status,N,,,,,,,,,,,,,,,
Carey’s Small Limestone Moss,Seligeria careyana,,Mosses,British Columbia,Endangered,No schedule,No Status,N,,,,,,,,,,,,,,,
Caribou,Rangifer tarandus,Atlantic-Gaspésie population,Mammals (terrestrial),Quebec,Endangered,Schedule 1,Endangered,N,,,,,,,,,,,,,,,
Caribou,Rangifer tarandus,Barren-ground population,Mammals (terrestrial),"Yukon, Northwest Territories, Nunavut, Alberta, Saskatchewan, Manitoba",Threatened,No schedule,No Status,N,,,,,,,,,,,,,,,
Caribou,Rangifer tarandus,Boreal population,Mammals (terrestrial),"Yukon, Northwest Territories, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Newfoundland and Labrador",Threatened,Yes,Threatened,Y,2018,N,0,1,Collaboratively develop path forward for protection of critical habitat on devolved lands.,1,,,high,2018,0,1,0,"Landscape Level Planning
 Habitat Management",1
